date,series,value
2024-01-07,Core,119000
2024-01-07,Growth,107000
2024-01-14,Core,122000
2024-01-14,Growth,107000
2024-01-21,Core,124000
2024-01-21,Growth,108000
2024-01-28,Core,124000
2024-01-28,Growth,108000
2024-02-04,Core,124000
2024-02-04,Growth,107000
2024-02-11,Core,124000
2024-02-11,Growth,107000
2024-02-18,Core,124000
2024-02-18,Growth,106000
2024-02-25,Core,124000
2024-02-25,Growth,105000
2024-03-03,Core,124000
2024-03-03,Growth,103000
2024-03-10,Core,124000
2024-03-10,Growth,102000
2024-03-17,Core,125000
2024-03-17,Growth,101000
2024-03-24,Core,126000
2024-03-24,Growth,101000
2024-03-31,Core,126000
2024-03-31,Growth,100000
2024-04-07,Core,126000
2024-04-07,Growth,100000
2024-04-14,Core,125000
2024-04-14,Growth,99000
2024-04-21,Core,123000
2024-04-21,Growth,99000
2024-04-28,Core,119000
2024-04-28,Growth,99000
2024-05-05,Core,116000
2024-05-05,Growth,100000
2024-05-12,Core,112000
2024-05-12,Growth,101000
2024-05-19,Core,109000
2024-05-19,Growth,103000
2024-05-26,Core,107000
2024-05-26,Growth,105000
2024-06-02,Core,106000
2024-06-02,Growth,108000
2024-06-09,Core,107000
2024-06-09,Growth,111000
2024-06-16,Core,109000
2024-06-16,Growth,114000
2024-06-23,Core,113000
2024-06-23,Growth,116000
2024-06-30,Core,118000
2024-06-30,Growth,118000
2024-07-07,Core,124000
2024-07-07,Growth,119000
2024-07-14,Core,129000
2024-07-14,Growth,121000
2024-07-21,Core,133000
2024-07-21,Growth,122000
2024-07-28,Core,136000
2024-07-28,Growth,124000
2024-08-04,Core,138000
2024-08-04,Growth,126000
2024-08-11,Core,139000
2024-08-11,Growth,129000
2024-08-18,Core,140000
2024-08-18,Growth,131000
2024-08-25,Core,141000
2024-08-25,Growth,134000
2024-09-01,Core,142000
2024-09-01,Growth,136000
2024-09-08,Core,143000
2024-09-08,Growth,138000
2024-09-15,Core,145000
2024-09-15,Growth,140000
2024-09-22,Core,146000
2024-09-22,Growth,141000
2024-09-29,Core,148000
2024-09-29,Growth,142000
2024-10-06,Core,150000
2024-10-06,Growth,142000
2024-10-13,Core,151000
2024-10-13,Growth,142000
2024-10-20,Core,152000
2024-10-20,Growth,142000
2024-10-27,Core,151000
2024-10-27,Growth,141000
2024-11-03,Core,150000
2024-11-03,Growth,140000
2024-11-10,Core,148000
2024-11-10,Growth,140000
2024-11-17,Core,146000
2024-11-17,Growth,139000
2024-11-24,Core,143000
2024-11-24,Growth,139000
2024-12-01,Core,141000
2024-12-01,Growth,140000
2024-12-08,Core,140000
2024-12-08,Growth,141000
2024-12-15,Core,139000
2024-12-15,Growth,142000
2024-12-22,Core,140000
2024-12-22,Growth,144000
2024-12-29,Core,141000
2024-12-29,Growth,147000
2025-01-05,Core,143000
2025-01-05,Growth,149000
2025-01-12,Core,145000
2025-01-12,Growth,152000
2025-01-19,Core,147000
2025-01-19,Growth,154000
2025-01-26,Core,149000
2025-01-26,Growth,156000
2025-02-02,Core,151000
2025-02-02,Growth,157000
2025-02-09,Core,152000
2025-02-09,Growth,158000
2025-02-16,Core,153000
2025-02-16,Growth,158000
2025-02-23,Core,154000
2025-02-23,Growth,158000
2025-03-02,Core,155000
2025-03-02,Growth,157000
2025-03-09,Core,156000
2025-03-09,Growth,156000
2025-03-16,Core,158000
2025-03-16,Growth,155000
2025-03-23,Core,160000
2025-03-23,Growth,154000
2025-03-30,Core,163000
2025-03-30,Growth,154000
2025-04-06,Core,166000
2025-04-06,Growth,154000
2025-04-13,Core,169000
2025-04-13,Growth,155000
2025-04-20,Core,172000
2025-04-20,Growth,155000
2025-04-27,Core,173000
2025-04-27,Growth,157000
2025-05-04,Core,174000
2025-05-04,Growth,158000
2025-05-11,Core,173000
2025-05-11,Growth,161000
2025-05-18,Core,171000
2025-05-18,Growth,163000
2025-05-25,Core,169000
2025-05-25,Growth,166000
2025-06-01,Core,165000
2025-06-01,Growth,168000
2025-06-08,Core,162000
2025-06-08,Growth,170000
2025-06-15,Core,159000
2025-06-15,Growth,172000
2025-06-22,Core,157000
2025-06-22,Growth,173000
2025-06-29,Core,155000
2025-06-29,Growth,174000
